,,,time,reward,length,instance,episode,checkpoint
0,3x3_11_inst,6,0.24105453491210938,0.9117647058823529,9,3x3_11_inst,0,3x3_11_inst/0
0,3x3_11_inst,7,0.22022390365600586,0.9117647058823529,9,3x3_11_inst,0,3x3_11_inst/0
0,3x3_11_inst,8,0.27230358123779297,0.9117647058823529,9,3x3_11_inst,0,3x3_11_inst/0
0,3x3_11_inst,9,0.18798398971557617,0.9117647058823529,9,3x3_11_inst,0,3x3_11_inst/0
0,3x3_11_inst,10,0.20881438255310059,0.9117647058823529,9,3x3_11_inst,0,3x3_11_inst/0
0,3x3_12_inst,1,0.20236802101135254,1.0,9,3x3_12_inst,0,3x3_12_inst/0
0,3x3_12_inst,2,0.24204707145690918,1.0,9,3x3_12_inst,0,3x3_12_inst/0
0,3x3_12_inst,3,0.23411226272583008,1.0,9,3x3_12_inst,0,3x3_12_inst/0
0,3x3_12_inst,4,0.20683002471923828,1.0,9,3x3_12_inst,0,3x3_12_inst/0
0,3x3_12_inst,5,0.22815895080566406,1.0,9,3x3_12_inst,0,3x3_12_inst/0
0,3x3_12_inst,6,0.24353504180908203,1.0,9,3x3_12_inst,0,3x3_12_inst/0
0,3x3_12_inst,7,0.18748784065246582,1.0,9,3x3_12_inst,0,3x3_12_inst/0
0,3x3_12_inst,8,0.20931172370910645,1.0,9,3x3_12_inst,0,3x3_12_inst/0
0,3x3_12_inst,9,0.26436710357666016,1.0,9,3x3_12_inst,0,3x3_12_inst/0
0,3x3_12_inst,10,0.23212790489196777,1.0,9,3x3_12_inst,0,3x3_12_inst/0
0,3x3_13_inst,1,0.19244861602783203,1.0,9,3x3_13_inst,0,3x3_13_inst/0
0,3x3_13_inst,2,0.25047969818115234,1.0,9,3x3_13_inst,0,3x3_13_inst/0
0,3x3_13_inst,3,0.22419142723083496,1.0,9,3x3_13_inst,0,3x3_13_inst/0
