,,,time,reward,length,instance,episode,checkpoint
0,10x10_6_inst,10x10_5_inst,46.2837233543396,0.711340206185567,101,10x10_5_inst,0,10x10_6_inst/0
0,10x10_7_inst,10x10_5_inst,40.974663734436035,0.7628865979381443,100,10x10_5_inst,0,10x10_7_inst/0
0,10x10_8_inst,10x10_5_inst,60.33418416976929,0.5360824742268041,106,10x10_5_inst,0,10x10_8_inst/0
0,10x10_9_inst,10x10_5_inst,60.69693922996521,0.6391752577319587,109,10x10_5_inst,0,10x10_9_inst/0
0,10x10_10_inst,10x10_5_inst,69.42613363265991,0.5567010309278351,119,10x10_5_inst,0,10x10_10_inst/0
0,10x10_11_inst,10x10_5_inst,68.34594202041626,0.5876288659793815,117,10x10_5_inst,0,10x10_11_inst/0
0,10x10_12_inst,10x10_5_inst,54.550992488861084,0.7628865979381443,107,10x10_5_inst,0,10x10_12_inst/0
0,10x10_13_inst,10x10_5_inst,62.49594974517822,0.6082474226804124,104,10x10_5_inst,0,10x10_13_inst/0
0,10x10_14_inst,10x10_5_inst,55.24167513847351,0.9278350515463918,100,10x10_5_inst,0,10x10_14_inst/0
0,10x10_15_inst,10x10_5_inst,54.992329359054565,0.7525773195876289,100,10x10_5_inst,0,10x10_15_inst/0
0,10x10_16_inst,10x10_5_inst,48.43824362754822,0.8041237113402062,100,10x10_5_inst,0,10x10_16_inst/0
0,10x10_17_inst,10x10_5_inst,51.4803900718689,0.7628865979381443,101,10x10_5_inst,0,10x10_17_inst/0
0,10x10_18_inst,10x10_5_inst,52.28709077835083,0.865979381443299,102,10x10_5_inst,0,10x10_18_inst/0
0,10x10_19_inst,10x10_5_inst,51.394272565841675,0.8144329896907216,100,10x10_5_inst,0,10x10_19_inst/0
0,10x10_0_inst,10x10_6_inst,69.16707754135132,0.4943820224719101,116,10x10_6_inst,0,10x10_0_inst/0
0,10x10_1_inst,10x10_6_inst,61.68300938606262,0.752808988764045,109,10x10_6_inst,0,10x10_1_inst/0
0,10x10_2_inst,10x10_6_inst,57.5806360244751,0.7303370786516854,106,10x10_6_inst,0,10x10_2_inst/0
0,10x10_3_inst,10x10_6_inst,59.80003643035889,0.8539325842696629,100,10x10_6_inst,0,10x10_3_inst/0
0,10x10_4_inst,10x10_6_inst,50.27318024635315,0.8314606741573034,100,10x10_6_inst,0,10x10_4_inst/0
0,10x10_5_inst,10x10_6_inst,53.67106509208679,0.8764044943820225,100,10x10_6_inst,0,10x10_5_inst/0
0,10x10_6_inst,10x10_6_inst,62.67634963989258,0.6741573033707865,101,10x10_6_inst,0,10x10_6_inst/0
